time,.header.id,.header.msg_type,.header.port_addr,.header.length,.header.sequence,.header.idle_time,.header.time_status,.header.gps_week,.header.gps_week_seconds,.header.receiver_status,.header.reserved,.header.software_version,.ins_status,.position_type,.latitude,.longitude,.altitude,.undulation,.north_velocity,.east_velocity,.up_velocity,.roll,.pitch,.azimuth,.latitude_std,.longitude_std,.altitude_std,.north_velocity_std,.east_velocity_std,.up_velocity_std,.roll_std,.pitch_std,.azimuth_std,.extended_status,.seconds_since_update
2021/09/07/01:27:51.434013,1465,0,64,126,0,113,180,2051,46728000,0,19988,13754,3,54,22.3011279482,114.178969587,6.37616622634,-2.20000004768,-1.61601924988,-1.74742745707,-0.011320719279,-1.24387254724,0.588537813231,226.879651033,0.25134280324,0.263798624277,0.234403267503,0.00188269186765,0.00280791451223,0.00311731384136,0.00520028406754,0.00521834054962,0.0595194622874,450,0
2021/09/07/01:27:55.073472,1465,0,64,126,0,106,180,2051,46729000,0,19988,13754,3,54,22.3011124731,114.17895193,6.38444963284,-2.20000004768,-1.6956370828,-1.72201118492,0.0224284080968,-0.859556879327,0.111007588557,224.743857231,0.25148165226,0.263972818851,0.23460829258,0.00225873617455,0.00354124675505,0.00391211500391,0.00554452510551,0.0055459998548,0.0596568919718,450,0
2021/09/07/01:27:56.062229,1465,0,64,126,0,106,180,2051,46730000,0,19988,13754,3,54,22.3010972733,114.178937201,6.39519393351,-2.20000004768,-1.783072919,-1.26387411135,0.0333668169776,-0.546672680517,0.642924532903,218.612057868,0.251802802086,0.264353960752,0.234883740544,0.00256207957864,0.00425400817767,0.00451823789626,0.0058520375751,0.00587187614292,0.0597842596471,450,0
2021/09/07/01:27:56.818187,1465,0,64,126,0,111,180,2051,46731000,0,19988,13754,3,54,22.3010799521,114.178926735,6.41763201263,-2.20000004768,-2.12877485074,-0.776813659905,-0.0123666673615,-0.311056637262,-0.0787443296079,204.315196234,0.252233564854,0.264839679003,0.235183358192,0.00282956543379,0.00506613450125,0.00504058832303,0.00618428084999,0.00616440642625,0.0599014647305,450,0
2021/09/07/01:27:57.554539,1465,0,64,126,0,105,180,2051,46732000,0,19988,13754,6,19,22.3010596112,114.178923442,6.40884815343,-2.20000004768,-2.3599346199,0.0768123919354,-0.0238512240552,-0.0708269735944,-0.177857861591,182.169059914,0.25276657939,0.265459895134,0.235503509641,0.00315546197817,0.00602256832644,0.00575153995305,0.00646867835894,0.00645810132846,0.060185674578,64,1
2021/09/07/01:27:59.050666,1465,0,64,126,0,105,180,2051,46733000,0,19988,13754,6,19,22.3010386743,114.178929424,6.39995575696,-2.20000004768,-2.24613203978,1.06717956641,-0.0379403485194,-0.135720714505,-0.47157760087,159.357859007,0.253450989723,0.266329288483,0.235881626606,0.00350884930231,0.0070506981574,0.00651805941015,0.00671633891761,0.00673760892823,0.0608829930425,64,2
2021/09/07/01:28:01.571336,1465,0,64,126,0,105,180,2051,46734000,0,19988,13754,6,19,22.3010185179,114.178942434,6.38280123845,-2.20000004768,-2.25023484073,1.59721196966,0.00915925838784,-0.434246507357,0.128856582604,146.247348674,0.254312187433,0.267237216234,0.236320719123,0.00394863029942,0.00809348654002,0.00746049173176,0.00698574632406,0.00699930684641,0.0618103407323,64,3
2021/09/07/01:28:04.609624,1465,0,64,126,0,105,180,2051,46735000,0,19988,13754,3,54,22.3009967574,114.178959875,6.38929174654,-2.20000004768,-2.55307795608,2.03572752691,0.0124787283914,-0.303762115975,-0.16253332027,141.464751286,0.255504101515,0.268691629171,0.236836403608,0.00442434521392,0.00917921960354,0.00851265992969,0.00724548939615,0.00724994810298,0.062323063612,448,0
2021/09/07/01:28:07.897576,1465,0,64,126,0,100,180,2051,46736000,0,19988,13754,3,54,22.3009725799,114.178981339,6.38090224471,-2.20000004768,-2.79524884336,2.40651635962,-0.0148221432564,-0.335490859174,0.0359294250865,138.733490535,0.25712043047,0.269887298346,0.237429022789,0.00488526653498,0.0103953555226,0.00960511434823,0.00749046774581,0.00749209104106,0.0626352950931,450,0
2021/09/07/01:28:11.772414,1465,0,64,126,0,98,180,2051,46737000,0,19988,13754,3,54,22.3009465253,114.179006205,6.38107879646,-2.20000004768,-2.98787579397,2.70402981222,0.0106617911631,-0.636690873307,0.102132454644,136.892752344,0.258887171745,0.270749241114,0.238146647811,0.00533414678648,0.0111858658493,0.0105872880667,0.00746634090319,0.00771778123453,0.0628190487623,450,0
2021/09/07/01:28:15.510556,1465,0,64,126,0,98,180,2051,46738000,0,19988,13754,3,54,22.3009189473,114.179033906,6.38742055837,-2.20000004768,-3.16623032613,2.96654289815,-0.0113593392721,-0.835959501743,0.290281225483,135.953659918,0.26065915823,0.273544669151,0.238974377513,0.00571176921949,0.0122606949881,0.0113462712616,0.00766020035371,0.00773711828515,0.0629461035132,450,0
2021/09/07/01:28:18.102354,1465,0,64,126,0,105,180,2051,46739000,0,19988,13754,3,54,22.3008888058,114.179063776,6.40428060293,-2.20000004768,-3.50845520354,3.14200515605,-0.00402469173373,-0.702073418309,-0.0320746980716,136.412809136,0.263272434473,0.277190685272,0.239937826991,0.00614745914936,0.0134011646733,0.0122800441459,0.00788706727326,0.00786699261516,0.0630404502153,450,0
2021/09/07/01:28:20.911135,1465,0,64,126,0,96,180,2051,46740000,0,19988,13754,3,54,22.3008558611,114.179095901,6.41291135456,-2.20000004768,-3.77294867826,3.4087912138,-0.018892389811,-0.500612326956,-0.111566147527,136.639679603,0.266479402781,0.281632065773,0.241018936038,0.00655845133588,0.0146339042112,0.0131879104301,0.00807040650398,0.00796701200306,0.0631211549044,450,0
2021/09/07/01:28:23.549883,1465,0,64,126,0,96,180,2051,46741000,0,19988,13754,3,54,22.300820525,114.179130275,6.39329509437,-2.20000004768,-3.95084445496,3.58838522509,-0.130848015072,-0.954462523129,-0.133178508979,136.923784382,0.269939571619,0.284775465727,0.241707131267,0.00704867206514,0.0154898418114,0.014293638058,0.00812744349241,0.00816256180406,0.0631556808949,450,0
2021/09/07/01:28:27.233567,1465,0,64,126,0,102,180,2051,46742000,0,19988,13754,3,53,22.3007831537,114.179166173,6.38724036608,-2.20000004768,-4.30189981053,3.78816561037,0.00389775557449,-1.81968195582,-0.117179308875,137.191404509,0.275355994701,0.289211302996,0.243104055524,0.00751992827281,0.0161945205182,0.0152686880901,0.00818731356412,0.00832533277571,0.0631671249866,195,0
